Qwen2.5-0.5B-Instruct-f16.gguf	994156864	miss	run	2702	True
Qwen2.5-0.5B-Instruct-IQ3_M.gguf	342752576	miss	run	972	False
Qwen2.5-0.5B-Instruct-IQ4_XS.gguf	349402688	miss	run	842	False
qwen2.5-1.5b-instruct-q4_k_m.gguf	1117320736	miss	run	7876	True
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf	491400064	miss	run	2621	True
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf	1117320768	miss	run	8044	True
qwen2.5-coder-7b-instruct-q4_k_m.gguf	4683073536	miss	run	34550	True
Qwen3-0.6B-BF16.gguf	1198182848	miss	run	709	False
Qwen3-1.7B-Q4_K_M.gguf	1107409472	miss	run	7352	True
Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf	18556686752	miss	run	144852	True
Qwen3.5-0.8B-IQ4_XS.gguf	492605696	miss	run	1627	False
Qwen3.5-0.8B-Q4_K_M.gguf	532517120	miss	run	2908	True
Qwen3.5-0.8B-UD-IQ2_XXS.gguf	338227456	miss	run	1551	False
Qwen3.5-27B-Q4_K_M.gguf	16740812704	miss	run	124070	True
Qwen3.5-2B-Q4_K_M.gguf	1280835840	miss	run	8679	True
Qwen3.5-35B-A3B-UD-IQ4_XS.gguf	17486174848	miss	run	22399	False
Qwen3.5-4B-Q4_K_M.gguf	2740937888	miss	run	19420	True
Qwen3.5-4B-UD-Q4_K_XL.gguf	2912109728	miss	run	18244	False
Qwen3.5-9B-Q4_K_M.gguf	5680522464	miss	run	40357	True
Qwen3-8B-Q4_K_M.gguf	5027783488	miss	run	36127	True
Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf	18556689568	miss	run	141828	True
Qwen2.5-0.5B-Instruct-f16.gguf	994156864	hit	cache	1264	True
Qwen2.5-0.5B-Instruct-IQ3_M.gguf	342752576	hit	cache	403	False
Qwen2.5-0.5B-Instruct-IQ4_XS.gguf	349402688	hit	cache	406	False
qwen2.5-1.5b-instruct-q4_k_m.gguf	1117320736	hit	cache	1194	True
qwen2.5-coder-0.5b-instruct-q4_k_m.gguf	491400064	hit	cache	468	True
qwen2.5-coder-1.5b-instruct-q4_k_m.gguf	1117320768	hit	cache	1157	True
qwen2.5-coder-7b-instruct-q4_k_m.gguf	4683073536	hit	cache	4676	True
Qwen3-0.6B-BF16.gguf	1198182848	hit	cache	1684	False
Qwen3-1.7B-Q4_K_M.gguf	1107409472	hit	cache	1128	True
Qwen3-30B-A3B-Instruct-2507-Q4_K_M.gguf	18556686752	hit	cache	17971	True
Qwen3.5-0.8B-IQ4_XS.gguf	492605696	hit	cache	510	False
Qwen3.5-0.8B-Q4_K_M.gguf	532517120	hit	cache	534	True
Qwen3.5-0.8B-UD-IQ2_XXS.gguf	338227456	hit	cache	377	False
Qwen3.5-27B-Q4_K_M.gguf	16740812704	hit	cache	16720	True
Qwen3.5-2B-Q4_K_M.gguf	1280835840	hit	cache	1491	True
Qwen3.5-35B-A3B-UD-IQ4_XS.gguf	17486174848	hit	cache	16670	False
Qwen3.5-4B-Q4_K_M.gguf	2740937888	hit	cache	2884	True
Qwen3.5-4B-UD-Q4_K_XL.gguf	2912109728	hit	cache	3047	False
Qwen3.5-9B-Q4_K_M.gguf	5680522464	hit	cache	6331	True
Qwen3-8B-Q4_K_M.gguf	5027783488	hit	cache	5509	True
Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf	18556689568	hit	cache	21746	True
DONE
